rank,sample_idx,region_code,affected_nodes,valid_nodes,affected_elements,severity_log_auc,recovery_scaled,recovery_min,spread_log_nodes,gate_mean_affected,gate_mean_unaffected,learned_vs_fixed_affected_gain,learned_vs_baseline_affected_gain,learned_vs_fixed_affected_gain_pct,learned_vs_baseline_affected_gain_pct,baseline_all_mae,baseline_affected_mae,baseline_unaffected_mae,learned_all_mae,learned_affected_mae,learned_unaffected_mae,fixed_all_mae,fixed_affected_mae,fixed_unaffected_mae,normal_all_mae,normal_affected_mae,normal_unaffected_mae,incident_all_mae,incident_affected_mae,incident_unaffected_mae,category
1,192208,2,2.0,20.0,72.0,1.9731910228729248,1.0,180.0,1.0986123085021973,0.5014147162437439,0.31249383091926575,1.4780099656846786,1.6325577629937063,27.067292093264424,29.0746812017666,1.9042765299479167,5.615049574110243,0.7324534633703399,1.339707743326823,3.9824918111165366,0.505144386960749,1.7272039794921874,5.460501776801215,0.5482677660490337,1.8422749837239583,6.016682518853082,0.5240410252621299,1.9353499348958334,5.486959669325087,0.8137892338267544,success
2,56226,0,2.0,12.0,60.0,2.0583224296569824,1.0,180.0,1.0986123085021973,0.6266539096832275,0.430960088968277,1.4484817504882814,1.329804992675781,27.160713892299285,25.50291007915403,1.7507809725674717,5.214326477050781,0.7320908191157323,1.3556037671638257,3.884521484375,0.6118045507692823,1.710527940229936,5.333003234863281,0.6450941048416436,1.7656303174567944,5.209093221028646,0.7528472601198682,2.02719463001598,5.961902872721354,0.8699274250105316,success
3,195028,2,3.0,25.0,108.0,0.921097457408905,0.0,0.0,1.3862943649291992,0.36654430627822876,0.3676757216453552,-9.889955873698675e-07,0.13246218363444012,-0.00020887095847445833,21.859919685906284,0.5940075280531397,0.6059591505262587,0.5915629069010416,0.48188599400550314,0.4734969668918186,0.48360194581927674,0.48541547667305424,0.4734959778962312,0.48785354151870264,0.5770065979387775,0.4865540751704463,0.5955081708503492,0.5618377301677968,0.4843544430202908,0.5776865410082268,neutral
4,187753,2,7.0,27.0,252.0,1.1357147693634033,0.8611111044883728,155.0,2.079441547393799,0.44663935899734497,0.4577483534812927,2.0587255085136036e-06,0.0772881886315725,0.00032213881986280273,10.788919334735441,0.5661079143655712,0.7163663591657367,0.4808261287104976,0.4761945790257947,0.6390781705341642,0.38374713519672016,0.48060279056943694,0.6390802292596727,0.39065610181103955,0.5661429920415769,0.6764579046340216,0.5035318254350541,0.536718521995106,0.7222396002875434,0.43142274048951296,neutral
5,88134,1,1.0,13.0,36.0,0.9660118222236633,0.1388888955116272,25.000001907348633,0.6931471824645996,0.5612148642539978,0.45962318778038025,-2.1544634501139326,-5.060313966539171,-43.66821204484332,-249.53953260058606,0.9548167060403263,2.027860641479492,0.850973642000588,1.222545773375268,7.088174608018663,0.6549042732484879,1.0615944207883348,4.933711157904731,0.6868734872469338,0.8017836178050322,1.9051344129774306,0.6950077344012516,1.5486429251876532,9.601147969563803,0.769368161437332,failure
6,60576,0,2.0,8.0,72.0,0.9614505171775818,0.0833333358168602,15.0,1.0986123085021973,0.49346795678138733,0.35748204588890076,-1.3460643556382923,0.6174873775906029,-126.02205331394451,20.367896654177734,1.7559269496372767,3.0316698286268444,0.7991196314493815,1.3942421504429408,2.4141824510362415,0.6292868852615356,0.8156421298072452,1.0681180953979492,0.6262852350870768,1.6396233694893974,2.9640396965874567,0.6463112036387125,1.934018997918992,3.5559293958875866,0.7175859610239664,failure
