model,normal_branch,incident_branch_inputs,test_all_baseline_robust_mae,test_all_model_robust_mae,test_all_improvement_pct,test_affected_baseline_robust_mae,test_affected_model_robust_mae,test_affected_improvement_pct,test_unaffected_model_robust_mae,residual_beta,metrics_path
residual temporal decay no-aux,learned normal STGNN,normal_delta + abs(normal_delta) + dual history + temporal gate; no aux labels,0.8328134204049883,0.7220843346221112,13.295785474858308,1.2938370202139187,1.1290449361007369,12.73669569958167,0.5311467751752337,1.0,outputs/impact_guided_next_stage/full_candidate_stgnn_learned_normal_decay_no_aux/metrics.json
dual-branch gate,learned normal STGNN,normal-style residual branch + incident graph branch + gate,0.8328134204049883,0.7202957623021744,13.510548142715779,1.2938370202139187,1.1282553080700406,12.797725645267231,0.5288895242449275,1.1,outputs/impact_guided_next_stage/dual_branch_gate_full/metrics.json
dual-branch gate no-aux,learned normal STGNN,normal-style residual branch + incident graph branch + gate; no aux labels,0.8328134204049883,0.7180658550041897,13.778304070195944,1.2938370202139187,1.1234169271158214,13.171681628797463,0.5278834544609178,1.05,outputs/impact_guided_next_stage/dual_branch_gate_full_no_aux/metrics.json
