stat,test_all_model_robust_mae,test_all_baseline_robust_mae,test_all_improvement_pct,test_affected_model_robust_mae,test_affected_baseline_robust_mae,test_affected_improvement_pct,test_unaffected_model_robust_mae,test_unaffected_improvement_pct,horizon_06_test_affected_model_robust_mae,horizon_12_test_affected_model_robust_mae,residual_beta
mean,0.718162317062976,0.8328134204049883,13.766721396763588,1.123951072557159,1.2938370202139187,13.130397801468954,0.5277745709837833,14.39327077905765,1.134160584517607,1.365181922260512,1.0333333333333334
std,0.0016294354582536898,0.0,0.19565432284476342,0.005441136008163839,0.0,0.42054261264407333,0.00017959464525955078,0.029130827841150238,0.0054827941397843005,0.008806580198968074,0.028867513459481315
min,0.7165832554892934,0.8328134204049883,13.56553304035427,1.1187967084253907,1.2938370202139187,12.690735812807885,0.5275672811902359,14.37560952962248,1.1288752526998753,1.3565890717041458,1.0
max,0.7198378406954451,0.8328134204049883,13.956327079740555,1.1296395821302645,1.2938370202139187,13.528775962801513,0.5278834544609178,14.426893848834208,1.139821525142533,1.3741877046378992,1.05
