rank,sample_idx,region_code,affected_nodes,valid_nodes,affected_elements,severity_log_auc,recovery_scaled,recovery_min,spread_log_nodes,gate_mean_affected,gate_mean_unaffected,learned_vs_fixed_affected_gain,learned_vs_baseline_affected_gain,learned_vs_fixed_affected_gain_pct,learned_vs_baseline_affected_gain_pct,baseline_all_mae,baseline_affected_mae,baseline_unaffected_mae,learned_all_mae,learned_affected_mae,learned_unaffected_mae,fixed_all_mae,fixed_affected_mae,fixed_unaffected_mae,normal_all_mae,normal_affected_mae,normal_unaffected_mae,incident_all_mae,incident_affected_mae,incident_unaffected_mae
1,192208,2,2.0,20.0,72.0,1.9731910228729248,1.0,180.0,1.0986123085021973,0.5014147162437439,0.31249383091926575,1.4780099656846786,1.6325577629937063,27.067292093264424,29.0746812017666,1.9042765299479167,5.615049574110243,0.7324534633703399,1.339707743326823,3.9824918111165366,0.505144386960749,1.7272039794921874,5.460501776801215,0.5482677660490337,1.8422749837239583,6.016682518853082,0.5240410252621299,1.9353499348958334,5.486959669325087,0.8137892338267544
2,56226,0,2.0,12.0,60.0,2.0583224296569824,1.0,180.0,1.0986123085021973,0.6266539096832275,0.430960088968277,1.4484817504882814,1.329804992675781,27.160713892299285,25.50291007915403,1.7507809725674717,5.214326477050781,0.7320908191157323,1.3556037671638257,3.884521484375,0.6118045507692823,1.710527940229936,5.333003234863281,0.6450941048416436,1.7656303174567944,5.209093221028646,0.7528472601198682,2.02719463001598,5.961902872721354,0.8699274250105316
3,184513,2,5.0,16.0,144.0,1.128365397453308,1.0,180.0,1.7917594909667969,0.377345472574234,0.33315208554267883,1.3987087673611112,2.633695390489366,28.44952548317677,42.814263301986195,2.7947294447157116,6.151443905300564,0.5569196983619973,1.6734344482421875,3.5177485148111978,0.4438919491238064,2.244044664171007,4.916457282172309,0.4624367113466616,2.6591100056966144,5.92848883734809,0.47952376471625435,2.3833986070421007,4.944514380560981,0.6759883032904731
4,184542,2,5.0,16.0,144.0,1.177532434463501,1.0,180.0,1.7917594909667969,0.3681773245334625,0.32966458797454834,1.3955298529730902,2.934830559624566,34.45334746431362,52.50339438036502,2.672366672092014,5.589792039659288,0.7274164270471644,1.3624129401312934,2.6549614800347223,0.5007139841715494,1.9262098524305555,4.0504913330078125,0.5100223046761972,2.4528983222113716,5.292107899983724,0.5600921136361582,2.110628594292535,4.1974377102322045,0.7194225876419632
