group,label,samples,no_decay_all_model_robust_mae,no_decay_affected_model_robust_mae,no_decay_unaffected_model_robust_mae,no_decay_all_improvement_pct,no_decay_affected_improvement_pct,no_decay_h01_all_model_robust_mae,no_decay_h01_affected_model_robust_mae,no_decay_h02_all_model_robust_mae,no_decay_h02_affected_model_robust_mae,no_decay_h03_all_model_robust_mae,no_decay_h03_affected_model_robust_mae,no_decay_h04_all_model_robust_mae,no_decay_h04_affected_model_robust_mae,no_decay_h05_all_model_robust_mae,no_decay_h05_affected_model_robust_mae,no_decay_h06_all_model_robust_mae,no_decay_h06_affected_model_robust_mae,no_decay_h07_all_model_robust_mae,no_decay_h07_affected_model_robust_mae,no_decay_h08_all_model_robust_mae,no_decay_h08_affected_model_robust_mae,no_decay_h09_all_model_robust_mae,no_decay_h09_affected_model_robust_mae,no_decay_h10_all_model_robust_mae,no_decay_h10_affected_model_robust_mae,no_decay_h11_all_model_robust_mae,no_decay_h11_affected_model_robust_mae,no_decay_h12_all_model_robust_mae,no_decay_h12_affected_model_robust_mae,decay_all_model_robust_mae,decay_affected_model_robust_mae,decay_unaffected_model_robust_mae,decay_all_improvement_pct,decay_affected_improvement_pct,decay_h01_all_model_robust_mae,decay_h01_affected_model_robust_mae,decay_h02_all_model_robust_mae,decay_h02_affected_model_robust_mae,decay_h03_all_model_robust_mae,decay_h03_affected_model_robust_mae,decay_h04_all_model_robust_mae,decay_h04_affected_model_robust_mae,decay_h05_all_model_robust_mae,decay_h05_affected_model_robust_mae,decay_h06_all_model_robust_mae,decay_h06_affected_model_robust_mae,decay_h07_all_model_robust_mae,decay_h07_affected_model_robust_mae,decay_h08_all_model_robust_mae,decay_h08_affected_model_robust_mae,decay_h09_all_model_robust_mae,decay_h09_affected_model_robust_mae,decay_h10_all_model_robust_mae,decay_h10_affected_model_robust_mae,decay_h11_all_model_robust_mae,decay_h11_affected_model_robust_mae,decay_h12_all_model_robust_mae,decay_h12_affected_model_robust_mae,all_decay_delta,all_decay_gain_pct,affected_decay_delta,affected_decay_gain_pct,unaffected_decay_delta,unaffected_decay_gain_pct,h01_affected_decay_delta,h01_affected_decay_gain_pct,h02_affected_decay_delta,h02_affected_decay_gain_pct,h03_affected_decay_delta,h03_affected_decay_gain_pct,h04_affected_decay_delta,h04_affected_decay_gain_pct,h05_affected_decay_delta,h05_affected_decay_gain_pct,h06_affected_decay_delta,h06_affected_decay_gain_pct,h07_affected_decay_delta,h07_affected_decay_gain_pct,h08_affected_decay_delta,h08_affected_decay_gain_pct,h09_affected_decay_delta,h09_affected_decay_gain_pct,h10_affected_decay_delta,h10_affected_decay_gain_pct,h11_affected_decay_delta,h11_affected_decay_gain_pct,h12_affected_decay_delta,h12_affected_decay_gain_pct
severity_low,severity <= 1.557,9167,0.5789002043539143,0.8539247040905009,0.5105735453124253,10.899739815675467,8.409466948259094,0.4689295715828252,0.6468349766846403,0.5102426377690877,0.7315772622301655,0.5362849464193168,0.7783827066800143,0.5555526216009027,0.8127379569656321,0.5715825244151761,0.8481239793600511,0.583251509147602,0.8586008885586559,0.5938041520425404,0.8795041827862157,0.6062019966259978,0.9017831104199515,0.6169856842196425,0.9185120209945816,0.6245717179127898,0.9403050428013009,0.6346423540115854,0.9586840345480165,0.6455924620263831,0.9724613993054702,0.5808495406132291,0.855256302434718,0.5126763603417022,10.599711647460305,8.266641940886164,0.4694467273246951,0.6456187928689915,0.5114227643562591,0.7307249253884635,0.5379199264196789,0.7785499875161676,0.5573568664441272,0.8135118267461918,0.5730968994482659,0.8478874587619254,0.5850469171444351,0.8599808999579618,0.5959300134707672,0.8808651774937655,0.6085985598268132,0.9039792982187833,0.6193637477607281,0.921444732700518,0.6277195298512495,0.9444231865887593,0.6369930287066208,0.9611650314939846,0.6481492311571936,0.9753427613041015,0.0019493362593148156,-0.33673096755776516,0.0013315983442170332,-0.15593861353798089,0.0021028150292768943,-0.41185350251356245,-0.001216183815648808,0.18802072545340257,-0.0008523368417020505,0.11650674312973551,0.00016728083615324962,-0.021490821252535507,0.0007738697805597106,-0.09521762505703113,-0.00023652059812573345,0.027887502756872788,0.0013800113993058805,-0.16072792582622678,0.0013609947075498008,-0.15474567764285696,0.0021961877988317946,-0.24353836010624014,0.0029327117059363417,-0.3192894201603097,0.00411814378745845,-0.4379582794951223,0.002480996945968039,-0.2587919331667744,0.0028813619986313155,-0.29629577078217995
severity_mid,1.557 < severity <= 2.578,9167,0.6751947643590112,0.9826218262822827,0.5332944975447218,12.21686579274197,10.490275299425521,0.5157570548173858,0.69193460796328,0.5693570635498377,0.7895274781819914,0.6124045124775022,0.8691176934132805,0.6419607903134738,0.9244607011402798,0.6628279236751207,0.9651611376032563,0.6831710446635005,1.0003639278544885,0.7003759349627654,1.0277780470283193,0.7142487060768611,1.0512746079538915,0.7296094881130101,1.0773895319417213,0.7439426896646706,1.1068022764684857,0.7563959876085362,1.129686156005168,0.7727326144111546,1.1583944858374065,0.6760068285029329,0.9811084673263836,0.5351799198574373,12.111288055037708,10.62813132897067,0.5155115976566221,0.6897494876620384,0.5693951620887596,0.7875139586298442,0.61290676180294,0.8667252781248349,0.6427235352092953,0.9225960176179727,0.6634403155509637,0.9629455178539251,0.6839461064778537,0.9987888696080471,0.7012504442581621,1.0261433579892298,0.7153949786608277,1.0508980565721493,0.7307220411834551,1.0760437657627546,0.7455771816270101,1.1062367958369508,0.7575974775771382,1.1283994496442562,0.7740658135808641,1.1576913631235228,0.0008120641439217646,-0.12027109610257256,-0.0015133589558991023,0.1540123489445422,0.00188542231271549,-0.35354242756974624,-0.0021851203012416276,0.3157986717377184,-0.002013519552147236,0.2550284325485004,-0.002392415288445582,0.27526942629022594,-0.0018646835223070646,0.20170500703892152,-0.0022156197493311547,0.22955956917547563,-0.0015750582464413299,0.15744852474033186,-0.0016346890390894764,0.15905078375783155,-0.00037655138174219616,0.03581855576965591,-0.0013457661789666453,0.12490989925818596,-0.0005654806315349425,0.051091386741563466,-0.0012867063609118823,0.11389945376173981,-0.0007031227138836194,0.06069803702279626
severity_high,severity > 2.578,9165,0.8600187091420964,1.3345107473092135,0.5455496504436744,14.32279045943208,13.484695696976837,0.589878450389677,0.8198172479596681,0.6747154391498107,0.9764550226410783,0.7418528566618117,1.1019231939278784,0.7895307143317012,1.1941429729384878,0.8269885571302256,1.267238476026788,0.8630220043730275,1.3396267830023743,0.9001108161858459,1.4099615061946773,0.9332167590259896,1.4763988221462419,0.963811458198994,1.536599683470591,0.990898553893221,1.5893381248261058,1.0115709373832686,1.6293154231869909,1.035124769375907,1.6737979897684707,0.855959018384864,1.3205603774541095,0.548044983844753,14.727226981544813,14.389087434239027,0.5892334147984846,0.8173648764215056,0.6737110876065463,0.9719637621470374,0.7400434851257991,1.094114971600097,0.7866375990118344,1.1837128449599716,0.8227173223695846,1.2534649244100295,0.8584267781378278,1.324885222823239,0.8950373240409631,1.3938584841966573,0.9289306265842422,1.4606117542302999,0.9575606763444674,1.5160382631289826,0.9850507980641454,1.5694235316455083,1.0054672146771095,1.6083220817910042,1.0291819660860353,1.6534390257461908,-0.004059690757232448,0.47204679550310646,-0.013950369855104006,1.0453546277714336,0.0024953334010785477,-0.45739803866599305,-0.002452371538162579,0.29913636780220876,-0.004491260494040916,0.4599556958489625,-0.007808222327781333,0.7085995077341467,-0.010430127978516168,0.8734404685939932,-0.013773551616758528,1.086894998638549,-0.014741560179135194,1.10042292123306,-0.01610302199802005,1.1420894774269577,-0.015787067915941977,1.0692956184421976,-0.02056142034160846,1.3381117126855107,-0.019914593180597517,1.2530117329675479,-0.02099334139598663,1.2884761966423304,-0.02035896402227988,1.2163334014456575
