group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074902722706297,1.1027049482105744,0.5220636665480187,0.7073449002381249,1.102535526265609,0.5219295813994906,-0.0001453720325047536,-0.00016942194496549767,-0.00013408514852808473
severity_low,severity <= 1.557,9167,0.5693276438607012,0.8349851920492188,0.5033281000611545,0.5692980744955668,0.8350763322133384,0.5032685411494872,-2.956936513442976e-05,9.114016411959636e-05,-5.955891166731231e-05
severity_mid,1.557 < severity <= 2.578,9167,0.6614014467812261,0.9593575843890083,0.5238727273489353,0.6613353175998333,0.9594010226828874,0.5237560178956824,-6.612918139281554e-05,4.343829387909448e-05,-0.00011670945325292781
severity_high,severity > 2.578,9165,0.8348268103875238,1.2856017851597543,0.5360762232774192,0.8345395522600383,1.2852040234563695,0.5358621856383449,-0.0002872581274855346,-0.00039776170338479133,-0.00021403763907434925
recovery_short_lt30,recovery < 30 min,12563,0.6060312218063555,0.9372519823061055,0.5042844482691109,0.605994280671188,0.937318532712999,0.5042157234766779,-3.694113516750086e-05,6.655040689351743e-05,-6.872479243302809e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6688982888130893,1.0258669617345808,0.5198402265566818,0.6688277072952172,1.0259501221293312,0.519705456658512,-7.058151787209255e-05,8.316039475042558e-05,-0.00013476989816985085
recovery_long_ge90,recovery >= 90 min,11556,0.7913149394720073,1.1907398541241658,0.538928064361523,0.7910715614669269,1.1904176591727234,0.5387345201477316,-0.00024337800508034135,-0.00032219495144247823,-0.00019354421379136344
