epoch,train_loss,val_loss,selection_loss,val_final_loss,val_source_loss,val_target_loss,val_correction_l1,val_unaffected_correction,val_non_tail_affected_correction,val_affected_correction,val_affected_rate,val_target_rate,val_severity_high_rate,val_recovery_long_rate,val_high_long_rate
1,0.5955545355247546,0.7430847423871358,0.7430847423871358,0.6542668269475301,0.6542761414845785,0.08877356272935867,0.000441147101810202,0.00043905504676513375,0.00044796137923064334,0.0004460742688582589,0.29355688325564067,0.16891077210505803,0.34233333337306976,0.36866666690508526,0.28833333325386046
2,0.5976185074335412,0.7430743732452393,0.7430743732452393,0.6542639190355937,0.6542761414845785,0.08877096676826476,0.0004076877320961406,0.00039947553770616653,0.0003902509876061231,0.0004272934111456076,0.29355688325564067,0.16891077210505803,0.34233333337306976,0.36866666690508526,0.28833333325386046
3,0.596306004101717,0.7430648531913757,0.7430648531913757,0.6542534580230713,0.6542761414845785,0.08876416093111038,0.00047848374505216876,0.00045280265451098483,0.000491929266601801,0.0005404052003286779,0.29355688325564067,0.16891077210505803,0.34233333337306976,0.36866666690508526,0.28833333325386046
4,0.5954250146316576,0.7430832484563191,0.7430832484563191,0.6542407422065735,0.6542761414845785,0.08875848027070363,0.0008503512716852128,0.0008074725237675011,0.0008729296737971405,0.000953947689384222,0.29355688325564067,0.16891077210505803,0.34233333337306976,0.36866666690508526,0.28833333325386046
5,0.5943782729438588,0.7430798789660136,0.7430798789660136,0.6542271847724914,0.6542761414845785,0.08875005567073822,0.0011059029769773284,0.001035570018303891,0.0010169760783513386,0.00127441842140009,0.29355688325564067,0.16891077210505803,0.34233333337306976,0.36866666690508526,0.28833333325386046
