group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074555703134052,1.1025956494043687,0.5220639674538713,0.7074263826957603,1.1026031553280389,0.5220175537133216,-2.9187617644921282e-05,7.50592367015912e-06,-4.6413740549700044e-05
severity_low,severity <= 1.557,9167,0.5693468602346272,0.8350892825458223,0.5033262350784429,0.569330224151193,0.8350905194651868,0.5033051520316952,-1.6636083434162785e-05,1.2369193644889975e-06,-2.1083046747638612e-05
severity_mid,1.557 < severity <= 2.578,9167,0.661428929481805,0.9594595562752728,0.5238658119220164,0.6614115460141661,0.9594749955421696,0.5238332783425722,-1.7383467638909522e-05,1.543926689684394e-05,-3.253357944421609e-05
severity_high,severity > 2.578,9165,0.8347041705984175,1.2852801752488614,0.5360854194482962,0.8346568144540816,1.2852842254459664,0.5360040206069977,-4.7356144335930495e-05,4.050197105032183e-06,-8.139884129854114e-05
recovery_short_lt30,recovery < 30 min,12563,0.6060374556502371,0.937300872749446,0.5042775699801801,0.6060208626674692,0.9373118606200275,0.504252512131694,-1.659298276790455e-05,1.0987870581513626e-05,-2.5057848486165213e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6689673689585113,1.0261243120767694,0.5198307396674603,0.6689458010840232,1.026092936516774,0.5198132370049815,-2.1567874488037653e-05,-3.137555999543906e-05,-1.7502662478796616e-05
recovery_long_ge90,recovery >= 90 min,11556,0.791224322970746,1.1904905539581174,0.5389377075048712,0.7911840095610554,1.1905039363404173,0.5388634997972089,-4.031340969057329e-05,1.3382382299864659e-05,-7.420770766231044e-05
