model,group,subset,threshold,selected_rate,precision,recall,fpr,f1,selected_final_gain_mean,selected_final_better_rate,selected_count
hierarchical_conservative,overall,all,0.0,1.0,0.2627351076147936,1.0,1.0,0.4161365373155409,0.0009110042725856515,0.519617657088644,14533132.0
hierarchical_conservative,overall,all,0.0025,0.986024554101621,0.2662387539449512,0.9991734680088121,0.9813387466718831,0.42044591395963576,0.0009239324527650832,0.52000683878779,14330025.0
hierarchical_conservative,overall,all,0.005,0.9625177146949467,0.27205747735069286,0.9966697779467856,0.9503471283745948,0.42743854426978606,0.000946479057629208,0.5203824998675688,13988397.0
hierarchical_conservative,overall,all,0.0075,0.9342598002963161,0.2790410850245045,0.9922422272994403,0.9135969159574897,0.4355855929653137,0.0009756634922502838,0.5206146156634092,13577721.0
hierarchical_conservative,overall,all,0.01,0.9017699006655964,0.28687690191499915,0.9846303285909882,0.8722413775081271,0.44430372304737,0.001011999711708832,0.5208651821393714,13105541.0
hierarchical_conservative,overall,all,0.0125,0.8659036469220812,0.2952980588816598,0.9732223014882814,0.8276590776393852,0.45311161802088645,0.0010609890222502744,0.5211272910704869,12584292.0
hierarchical_conservative,overall,all,0.015,0.8280916322785756,0.3037477674055123,0.9573558204508528,0.7820264517159867,0.4611749516451926,0.0011220332751870172,0.5213358133706807,12034765.0
hierarchical_conservative,overall,all,0.0175,0.7896690816542504,0.311869394185354,0.937345679982317,0.737042369932788,0.4680209763768942,0.0011831521275557485,0.5216092377682306,11476365.0
hierarchical_conservative,overall,all,0.02,0.7511566673997043,0.31958340001276947,0.9136852851116342,0.693237221748525,0.4735361458207428,0.0012446157618187933,0.5218980459131315,10916659.0
hierarchical_conservative,overall,all,0.0225,0.7126147343876048,0.3268224937247285,0.8864385375516844,0.6506700845039295,0.47756920548508036,0.0013090261352987026,0.5222423083266161,10356524.0
hierarchical_conservative,overall,all,0.025,0.6746638646095006,0.33346476315757534,0.8562868809783457,0.6099398512408295,0.4800018615107907,0.0013757854285767377,0.5225144286387559,9804979.0
hierarchical_conservative,overall,all,0.0275,0.6372320845912636,0.33966585386554204,0.8238182635285688,0.570739375784898,0.48100860119721617,0.001449412882935222,0.5228665914118358,9260978.0
hierarchical_conservative,overall,all,0.03,0.6002159066607253,0.34533877441715405,0.7889232142352065,0.5329673026984812,0.4803930284870541,0.001532192685109951,0.523128293800184,8723017.0
hierarchical_conservative,overall,all,0.0325,0.5637884524822316,0.3505743254623236,0.7522776770365528,0.496617565587981,0.4782676888465312,0.0016143045520334905,0.5233163347251493,8193612.0
hierarchical_conservative,overall,all,0.035,0.5280507326294154,0.355415936788976,0.7143226785083874,0.46167000536082536,0.47466111874646233,0.0017066582851507325,0.5236167636861596,7674231.0
hierarchical_conservative,overall,all,0.0375,0.4931479325998002,0.3598679723576891,0.6754641516628588,0.42817688633108997,0.4695650970729375,0.0017973552151056235,0.5238589900577426,7166984.0
hierarchical_conservative,overall,all,0.04,0.4592409949899306,0.3638035063325847,0.6359008727297869,0.396285668527774,0.46282275445472193,0.0018869398598035123,0.5239300231787732,6674210.0
hierarchical_conservative,overall,all,0.0425,0.4267385034416532,0.36733911687921356,0.596637984225705,0.3661923431286613,0.45471717112543836,0.0019719672012008293,0.5239882570466508,6201847.0
hierarchical_conservative,overall,all,0.045,0.3956315816852142,0.3703715942527052,0.5577126748523713,0.3378716179389045,0.44513400215089044,0.0020490651057450335,0.5240284561145618,5749766.0
hierarchical_conservative,overall,all,0.0475,0.36582300360307746,0.3731653999940563,0.5195822085060513,0.31102866622963743,0.434367117471662,0.002125341451003669,0.5240911688285307,5316554.0
hierarchical_conservative,overall,all,0.05,0.3373944446386367,0.3758020458465742,0.4825907116241406,0.2856516352010608,0.42255383717189254,0.0021975626845321125,0.5241200082065539,4903398.0
hierarchical_conservative,overall,all,0.0525,0.31030228033434226,0.3781421409665997,0.4466033096896996,0.2617294186864335,0.4095312839966436,0.0022662414344140768,0.5241226397354659,4509664.0
hierarchical_conservative,overall,all,0.055,0.2846327962891963,0.3801498136394909,0.4118334448994386,0.23930298817482562,0.39535787061421984,0.0023298371202230424,0.5241492663309003,4136606.0
hierarchical_conservative,overall,all,0.0575,0.26024397218713763,0.3818043128794128,0.37818421711497385,0.2182142441161582,0.37998564309513394,0.0023829934131620553,0.5240709012839224,3782160.0
hierarchical_conservative,overall,all,0.06,0.2372135613988781,0.38332207865742157,0.3460869628982465,0.19841493534904348,0.3637541254806753,0.002431716307462318,0.5239765206575515,3447456.0
hierarchical_conservative,overall,all,0.0625,0.21547702174589758,0.3844619096704641,0.3153088600248693,0.17990048874599993,0.3464684485576812,0.0024832354050669464,0.5237983928756184,3131556.0
hierarchical_conservative,overall,all,0.065,0.19507935385159922,0.38537533234995136,0.2861390375563985,0.16262890619750237,0.3284246224305543,0.0025257390104126577,0.5235842368243393,2835114.0
hierarchical_conservative,overall,all,0.0675,0.17595381367209767,0.3859891442068545,0.2584970945672021,0.14653831048885052,0.3096329023308515,0.002582330399164378,0.5233516870277964,2557160.0
hierarchical_conservative,overall,all,0.07,0.1580807220356906,0.3862600809259827,0.2324024110849568,0.13159510313242434,0.29019950384023474,0.002633033729798999,0.5230659943727888,2297408.0
hierarchical_conservative,overall,all,0.0725,0.1415452636086977,0.3865045676040399,0.20822451709685091,0.11778313818833969,0.2706433198421911,0.002721690855608296,0.5230183715295738,2057096.0
hierarchical_conservative,overall,all,0.075,0.1262392717550491,0.3866073784020076,0.1857575652818851,0.10502905895862608,0.2509421519415477,0.002844805218952078,0.5230883023047422,1834652.0
hierarchical_conservative,overall,all,0.0775,0.1120905665757388,0.38648162369316164,0.1648844897972011,0.09327668130565216,0.23115249116503664,0.0029734085309715465,0.5232123224476942,1629027.0
hierarchical_conservative,overall,all,0.08,0.09907540920979731,0.38616033602893585,0.14561812336382807,0.08248923355130042,0.21148635284810127,0.0031002625779402823,0.5233492328506065,1439876.0
hierarchical_conservative,overall,all,0.0825,0.08708288068944808,0.38593790865424504,0.12791813457281706,0.07253064182070951,0.19214898019276738,0.0032348954247688995,0.5234717170767399,1265587.0
