label,group,group_label,target,samples,mean_delta,median_delta,std_delta,se_delta,ci95_low,ci95_high,improve_rate,worse_rate,p_normal_approx,source_sample_mae,adapter_sample_mae
seed7,overall,all test events,all,27499,-0.00022483283919444314,-9.101629257202148e-05,0.002362713970551674,1.4247960378454177e-05,-0.00025275884153621334,-0.00019690683685267293,0.5444561620422561,0.4555438379577439,4.2717645997909255e-56,0.7091604008674058,0.7089355680282113
seed11,overall,all test events,all,27499,-0.0005852178519044323,-0.0002588629722595215,0.0028633285735570864,1.7266834908929506e-05,-0.0006190608483259341,-0.0005513748554829305,0.5982399359976727,0.40176006400232733,8.56402661786372e-252,0.7085375975635371,0.7079523797116326
seed23,overall,all test events,all,27499,-0.00034380047107775467,-0.00012421607971191406,0.0027665053810989534,1.6682958474010548e-05,-0.0003764990696868153,-0.000311101872468694,0.5457653005563838,0.4541983344848904,2.3320637297136368e-94,0.7069260706919357,0.7065822702208578
seed7,overall,all test events,affected,26205,-0.00032455347218237815,-0.00013816356658935547,0.004878050182530196,3.01338194450646e-05,-0.00038361575829470477,-0.00026549118607005153,0.5413470711696241,0.4585766075176493,4.749019433075147e-27,1.1023919281691024,1.1020673746969198
seed11,overall,all test events,affected,26205,-0.0004409013022120457,-0.00018465518951416016,0.006260700259038286,3.867504518120259e-05,-0.0005167043907672028,-0.00036509821365688863,0.539477199007823,0.4605228009921771,4.174010455776182e-30,1.1001095765574336,1.0996686752552216
seed23,overall,all test events,affected,26205,-0.0004231748369285519,-0.00021219253540039062,0.005696873565101005,3.5192044564632256e-05,-0.0004921512442752311,-0.0003541984295818727,0.5428353367677924,0.4571265025758443,2.634476122921775e-33,1.0981733017704671,1.0977501269335386
seed7,overall,all test events,unaffected,27393,-0.0001898842776328237,-4.929304122924805e-05,0.002744548502022503,1.6582542206130686e-05,-0.00022238606035683984,-0.00015738249490880759,0.53017194173694,0.4697915525864272,2.328389230613933e-30,0.5326573267139545,0.5324674424363217
seed11,overall,all test events,unaffected,27393,-0.0007082264795880353,-0.0002835392951965332,0.002797906149149024,1.6904928724293267e-05,-0.00074136013988765,-0.0006750928192884205,0.6257438031613916,0.3742561968386084,0.0,0.5330127885675521,0.5323045620879641
seed23,overall,all test events,unaffected,27393,-0.0003097504881903754,-7.826089859008789e-05,0.0029832126452094708,1.8024549233724275e-05,-0.000345078604688475,-0.00027442237169227583,0.5314861460957179,0.46851385390428213,3.444048082592537e-66,0.5314582986322318,0.5311485481440414
seed7,severity_low,severity <= 1.557,all,9167,-0.0001447375039244421,-3.641843795776367e-05,0.0016395538575577245,1.7124270192669512e-05,-0.00017830107350207434,-0.00011117393434680987,0.5328897131013418,0.46711028689865824,2.8590049053699144e-17,0.5844949189213067,0.5843501814173823
seed11,severity_low,severity <= 1.557,all,9167,-0.0003580474169252092,-0.0001569986343383789,0.0016730404099815287,1.7474019466768017e-05,-0.0003922964950800745,-0.0003237983387703439,0.5973600959965092,0.40263990400349076,2.6291877257656204e-93,0.5849064120552842,0.5845483646383589
