group,target,seeds,seed_mean_delta,seed_std_delta,seed_min_delta,seed_max_delta,all_seeds_improved,mean_improve_rate
overall,all,3,-0.00038461705405887665,0.00018362688918343597,-0.0005852178519044323,-0.00022483283919444314,True,0.5628204661987709
overall,affected,3,-0.0003962098704409919,6.268601479923195e-05,-0.0004409013022120457,-0.00032455347218237815,True,0.5412198689817465
overall,unaffected,3,-0.00040262041513707816,0.00027136373575011594,-0.0007082264795880353,-0.0001898842776328237,True,0.5624672969980166
severity_low,all,3,-0.0002412425114968175,0.00010809414478047472,-0.0003580474169252092,-0.0001447375039244421,True,0.5536889567652086
severity_low,affected,3,-0.0003769589017893592,0.00021080326976624604,-0.0006027411711084392,-0.00018529725430944008,True,0.5434745834390595
severity_low,unaffected,3,-0.0002177988902482812,7.92577401320256e-05,-0.0003051276837717997,-0.00015042688422007102,True,0.5435616438356164
severity_mid,all,3,-0.0005514916750627112,0.00030446184605003646,-0.0008783543481813258,-0.00027595498452103877,True,0.5919421111959564
severity_mid,affected,3,-0.0006420889104362121,0.00032548927809305535,-0.0009877427155085884,-0.0003414502109766605,True,0.5611468908052251
severity_mid,unaffected,3,-0.00047842460111997717,0.00026481821289654474,-0.0007682738443435551,-0.00024912434301423885,True,0.583798984697418
severity_high,all,3,-0.0003611118473948555,0.0001398215975773081,-0.0005192373953942581,-0.0002538123517106676,True,0.5428259683578832
severity_high,affected,3,-0.00016691913146652752,0.0003609696858712447,-0.0004274596591699438,0.0002451100527160268,False,0.5193553081568799
severity_high,unaffected,3,-0.0005114303494051397,0.00047246102362021866,-0.0010506643106458536,-0.00017012327097657082,True,0.5600408416292892
recovery_short_lt30,all,3,-0.00028887961537516497,7.166151993262381e-05,-0.0003624569914074429,-0.0002193014360362345,True,0.5587306641195043
recovery_short_lt30,affected,3,-0.0003532257422513067,5.140534282838544e-05,-0.00039402767157727835,-0.0002954896574765193,True,0.5446088420306547
recovery_short_lt30,unaffected,3,-0.00027831728651628215,7.946237433509904e-05,-0.00036440475345597044,-0.00020777846326839827,True,0.5535471486843158
recovery_mid_30_90,all,3,-0.0005855494261493344,0.00049083380803653,-0.0011087222564855272,-0.00013518941825663549,True,0.6021696252465483
recovery_mid_30_90,affected,3,-0.0010542684152770895,0.0008487807980620186,-0.001974260737319158,-0.0003016300859061578,True,0.5742769716711085
recovery_mid_30_90,unaffected,3,-0.0003902988708526757,0.000312649128098394,-0.0007220139551212405,-0.00010105857282353498,True,0.5841024114319738
recovery_long_ge90,all,3,-0.00042992667888734,0.00021759477520356818,-0.0006742711404938729,-0.0002570659458616606,True,0.5557574708665051
recovery_long_ge90,affected,3,-0.0002456941568083323,0.0001800968476921909,-0.00035968522437368087,-3.806860631202848e-05,True,0.528232677699795
recovery_long_ge90,unaffected,3,-0.0005409909020330212,0.0004704909301671581,-0.001077014174628636,-0.0001963567899433616,True,0.5658370190500969
severity_high_and_long,all,3,-0.0003366330796667503,0.0001491743723725261,-0.0005068587720846978,-0.00022870787708321905,True,0.5375928924316021
severity_high_and_long,affected,3,-9.344165251027078e-05,0.00040760936828882936,-0.00039633558078280774,0.00036999385032340234,False,0.513762610536804
severity_high_and_long,unaffected,3,-0.0005196304018007991,0.0005211199729372236,-0.001115286975053645,-0.0001479037982138366,True,0.5566928806224775
