group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7075320097413879,1.1021402776906941,0.5223899233238815,0.7071454405870669,1.1016149444643795,0.522068453300669,-0.0003865691543210037,-0.0005253332263146504,-0.00032147002321247786
severity_low,severity <= 1.557,9167,0.5699668132203763,0.8362699334087399,0.5038068943043724,0.5696871180066658,0.8357547458303448,0.5035856958310897,-0.000279695213710518,-0.0005151875783950821,-0.00022119847328272435
severity_mid,1.557 < severity <= 2.578,9167,0.6619134688131466,0.9600977484703824,0.5242794291288542,0.6613553209245728,0.9592893422888026,0.523836809202151,-0.000558147888573779,-0.000808406181579846,-0.0004426199267031361
severity_high,severity > 2.578,9165,0.8340834025266681,1.283557931701142,0.5361946831563167,0.8337776770474057,1.2832234770719757,0.5359079844898338,-0.000305725479262442,-0.0003344546291663697,-0.00028669866648289855
recovery_short_lt30,recovery < 30 min,12563,0.6065197547853247,0.9378686397250612,0.5047336219892714,0.6061557252787959,0.9372575673160853,0.5044454755417341,-0.00036402950652880683,-0.0006110724089758435,-0.00028814644753727414
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697293484390626,1.0276064715839364,0.5202919661754265,0.6691663156942741,1.0265666228251091,0.5199280533855926,-0.0005630327447885275,-0.0010398487588272332,-0.00036391278983394226
recovery_long_ge90,recovery >= 90 min,11556,0.7908324292630402,1.1892121895105756,0.5391059714918369,0.7904735765160253,1.1888229090067544,0.5387663416082628,-0.0003588527470148595,-0.00038928050382125434,-0.00033962988357416624
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375877117093103,1.2705994750053307,0.540279907161997,0.8373244883631654,1.2703405840431363,0.5400137117121783,-0.00026322334614492515,-0.00025889096219433583,-0.0002661954498187624
