group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7085931423367654,1.1054110895583313,0.5224143119011958,0.7085746759112214,1.1052186919793279,0.5224774500048321,-1.846642554403921e-05,-0.0001923975790034671,6.313810363633987e-05
severity_low,severity <= 1.557,9167,0.5694238360717006,0.8340367388083536,0.5036838190221624,0.5694949341088872,0.8341791871341278,0.5037371975294743,7.109803718663432e-05,0.00014244832577414712,5.337850731190752e-05
severity_mid,1.557 < severity <= 2.578,9167,0.6613464875873413,0.9577731136537604,0.5245237595651989,0.6614145224015016,0.9578633316487399,0.5245815166483381,6.803481416028934e-05,9.021799497954675e-05,5.775708313915384e-05
severity_high,severity > 2.578,9165,0.8375689191723716,1.2924049639107895,0.5361268290152152,0.8374189052217834,1.291912915505745,0.53620348908172,-0.00015001395058822364,-0.0004920484050445761,7.666006650475232e-05
recovery_short_lt30,recovery < 30 min,12563,0.6058509503490627,0.935918915492709,0.5044582950693987,0.6058825261235071,0.9358978171689769,0.5045060583191737,3.1575774444458915e-05,-2.109832373209386e-05,4.776324977506796e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6686792032712329,1.0250036212565332,0.5198901781786717,0.6688325176415091,1.025355509785132,0.5199605837388147,0.00015331437027621408,0.00035188852859868724,7.040556014303867e-05
recovery_long_ge90,recovery >= 90 min,11556,0.793686754524117,1.1959178925680725,0.5395267196693315,0.7935886822415184,1.1955458018237142,0.5396017912274343,-9.807228259861578e-05,-0.0003720907443582888,7.507155810282384e-05
