group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074555703134052,1.1025956494043687,0.5220639674538713,0.7074385778905057,1.10261385450966,0.5220304484373544,-1.699242289954217e-05,1.8205105291269064e-05,-3.351901651693634e-05
severity_low,severity <= 1.557,9167,0.5693468602346272,0.8350892825458223,0.5033262350784429,0.5693397474601793,0.8350916870744144,0.503316765787672,-7.112774447870507e-06,2.4045285921259207e-06,-9.469290770836025e-06
severity_mid,1.557 < severity <= 2.578,9167,0.661428929481805,0.9594595562752728,0.5238658119220164,0.6614222845962104,0.9594806562791095,0.5238463811373609,-6.644885594542238e-06,2.110000383670485e-05,-1.9430784655494193e-05
severity_high,severity > 2.578,9165,0.8347041705984175,1.2852801752488614,0.5360854194482962,0.8346719506919337,1.285301396664309,0.536017801464327,-3.221990648383244e-05,2.1221415447580938e-05,-6.761798396925922e-05
recovery_short_lt30,recovery < 30 min,12563,0.6060374556502371,0.937300872749446,0.5042775699801801,0.6060316604194944,0.9373214176491096,0.5042636857796773,-5.795230742733359e-06,2.05448996636326e-05,-1.3884200502856103e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6689673689585113,1.0261243120767694,0.5198307396674603,0.6689588498394816,1.02609783849681,0.5198297026512886,-8.519119029659628e-06,-2.647357995932964e-05,-1.0370161717121462e-06
recovery_long_ge90,recovery >= 90 min,11556,0.791224322970746,1.1904905539581174,0.5389377075048712,0.7911970241599354,1.190516233553176,0.5388769381466677,-2.7298810810538754e-05,2.567959505861417e-05,-6.076935820353846e-05
