group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074902722706297,1.1027049482105744,0.5220636665480187,0.7074657539407198,1.1026692441527122,0.5220443785618407,-2.45183299099061e-05,-3.570405786224029e-05,-1.9287986178007088e-05
severity_low,severity <= 1.557,9167,0.5693276438607012,0.8349851920492188,0.5033281000611545,0.5693192897458441,0.8350040497379778,0.5033129868134701,-8.354114857112016e-06,1.885768875897753e-05,-1.5113247684328535e-05
severity_mid,1.557 < severity <= 2.578,9167,0.6614014467812261,0.9593575843890083,0.5238727273489353,0.661395289166551,0.9593846694428388,0.5238511917705176,-6.1576146751507466e-06,2.708505383053339e-05,-2.153557841766407e-05
severity_high,severity > 2.578,9165,0.8348268103875238,1.2856017851597543,0.5360762232774192,0.8347761691289212,1.2855057934666345,0.5360556424345823,-5.0641258602657224e-05,-9.599169311980127e-05,-2.0580842836959157e-05
recovery_short_lt30,recovery < 30 min,12563,0.6060312218063555,0.9372519823061055,0.5042844482691109,0.606018848835715,0.9372638227907981,0.5042646296157796,-1.237297064049514e-05,1.184048469260457e-05,-1.9818653331338254e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6688982888130893,1.0258669617345808,0.5198402265566818,0.6689066037794912,1.0259584461101583,0.5198138308776147,8.314966401856694e-06,9.148437557748856e-05,-2.6395679067148237e-05
recovery_long_ge90,recovery >= 90 min,11556,0.7913149394720073,1.1907398541241658,0.538928064361523,0.7912733021285736,1.1906588611407263,0.5389113027081562,-4.163734343365366e-05,-8.099298343955397e-05,-1.676165336672586e-05
