epoch,train_loss,val_loss,val_model_mae,val_blend_mae,val_mae_improvement_pct,val_model_rmse,val_blend_rmse,val_model_mape,val_blend_mape,val_model_robust_mae,val_blend_robust_mae,val_robust_improvement_pct,val_valid_values
1,0.028004810744284712,0.8377283947087893,5.128340753280663,5.899052046133973,13.06500242455746,15.563379856682163,17.666272485677393,18.078233372100605,18.27278071371023,0.8377283947087893,0.9209003328723323,9.031589542825518,7794993.0
2,0.026917576801185915,0.8382791250882938,5.076077927723925,5.899052046133973,13.950955373404376,15.251204693559062,17.666272485677393,18.502034842119567,18.27278071371023,0.8382791250882938,0.9209003328723323,8.971786070088493,7794993.0
3,0.026030069849297514,0.827625905831875,5.014973393818314,5.899052046133973,14.986791867602733,15.247234287308256,17.666272485677393,18.026446491837774,18.27278071371023,0.827625905831875,0.9209003328723323,10.12861258824067,7794993.0
4,0.025642734220355675,0.8335023575991345,5.0303937983411275,5.899052046133973,14.725387079134741,15.263871012748293,17.666272485677393,18.194220737724283,18.27278071371023,0.8335023575991345,0.9209003328723323,9.490492309911469,7794993.0
5,0.025404435249358197,0.8064067769708869,4.931417145956706,5.899052046133973,16.40322703732408,15.072553655703334,17.666272485677393,17.461329961966452,18.27278071371023,0.8064067769708869,0.9209003328723323,12.432784723221294,7794993.0
