model,group,subset,threshold,selected_rate,precision,recall,fpr,f1,selected_final_gain_mean,selected_final_better_rate,selected_count
element_normal_veto,overall,all,0.0,1.0,0.2627351076147936,1.0,1.0,0.4161365373155409,0.0008329114021763576,0.519982409848063,14533132.0
element_normal_veto,overall,all,0.0025,0.9795328357301096,0.26794097647600956,0.9989414314612226,0.9726162992983143,0.4225448880040394,0.000850311733411883,0.5203726832859407,14235680.0
element_normal_veto,overall,all,0.005,0.9482071036029949,0.2758624393060908,0.9955834488278226,0.9313238513423716,0.43201850946170534,0.0008782401143915829,0.5206744439338166,13780419.0
element_normal_veto,overall,all,0.0075,0.9144647554291807,0.28412614652615337,0.9889175049838098,0.8879324312014969,0.4414260572919701,0.000910878626654535,0.5208803406642134,13290037.0
element_normal_veto,overall,all,0.01,0.8793493377752297,0.2923175035407717,0.9783587944994243,0.8440658724481949,0.4501404501151459,0.0009493157668397857,0.5210029969404603,12779700.0
element_normal_veto,overall,all,0.0125,0.8429730081581864,0.30036181423974034,0.9636964941006149,0.7999514315195625,0.45798144822066184,0.000995881617251106,0.5211109458643423,12251038.0
element_normal_veto,overall,all,0.015,0.8050164272917909,0.3083331552616756,0.9447281610658387,0.7552281113319486,0.4649269927503778,0.0010523382301581006,0.5212705597974598,11699410.0
element_normal_veto,overall,all,0.0175,0.7657052863759856,0.31607859960949297,0.9211675471484646,0.7103040401808046,0.4706603436532798,0.0011115707279670008,0.5214628809816163,11128096.0
element_normal_veto,overall,all,0.02,0.7255487667764938,0.32353210622869033,0.8934410129573818,0.6657179138176393,0.47504229658995495,0.0011701436783096576,0.5216655210452923,10544496.0
element_normal_veto,overall,all,0.0225,0.6849270343102918,0.33076635990972597,0.8622784522376599,0.6217252674066298,0.47812571995830244,0.001231235826691343,0.5220086928698475,9954135.0
element_normal_veto,overall,all,0.025,0.6442022270216771,0.3376832727426536,0.8279682083740576,0.578714536796317,0.4797163111958144,0.0012955143936856164,0.5223583453425215,9362276.0
element_normal_veto,overall,all,0.0275,0.6037110238866612,0.3442213031234314,0.790949474696493,0.536985868476107,0.4796840514300308,0.0013642993495473267,0.5227524820454325,8773812.0
element_normal_veto,overall,all,0.03,0.5636587488505574,0.35015424708367354,0.7512033949618213,0.4968244762742413,0.47765966136309873,0.0014373006938576886,0.5230951910384709,8191727.0
element_normal_veto,overall,all,0.0325,0.5245474960249449,0.3556667844631432,0.7100844759692895,0.4584286845968107,0.4739444777437443,0.0015202287793466295,0.5234752111875695,7623318.0
element_normal_veto,overall,all,0.035,0.48640224282006106,0.36067361083997224,0.6677160689761374,0.4217884138975291,0.46835858107125067,0.0016199799625025014,0.5238868640708632,7068948.0
element_normal_veto,overall,all,0.0375,0.4495067546348578,0.3651609638282001,0.6247445240946122,0.3870582172194489,0.4609173609967245,0.0017209049472480436,0.5243332010254195,6532741.0
element_normal_veto,overall,all,0.04,0.41392405986541647,0.3689392918061717,0.5812426473746348,0.35429763854896346,0.45137303046366695,0.0018229120591204324,0.5246098776633403,6015613.0
element_normal_veto,overall,all,0.0425,0.3797805593453634,0.3722556125202717,0.5380911825064347,0.32336425763021653,0.4400684746296357,0.0019201722296204912,0.5248089421297709,5519401.0
element_normal_veto,overall,all,0.045,0.34715366240394707,0.37521619430630515,0.4957756777509949,0.2941900375257775,0.42715223644043265,0.002015468986875658,0.5249695256707821,5045230.0
element_normal_veto,overall,all,0.0475,0.31605788759091985,0.37776366546920076,0.4544317933020529,0.26674632619203703,0.4125661060371448,0.002105236552121521,0.5251625679166945,4593311.0
