model,group,subset,count,positive_rate,score_mean,score_pos_mean,score_neg_mean,score_pos_neg_gap,normal_advantage_mean,final_gain_mean,final_better_rate,hist_auc
element_normal_veto,overall,all,14533132.0,0.2627351076147936,0.03754611183762828,0.04694469054349647,0.03419679110743109,0.012747899436065378,-0.0690551449339481,0.0008329114021763576,0.519982409848063,0.6654078858314645
element_normal_veto,overall,affected,4641126.0,0.29206705441739783,0.042514692650331545,0.05010564499105574,0.03938294535108189,0.010722699639973854,-0.10868976044017888,0.00047733996924935316,0.5084701428058622,0.6355331519468633
element_normal_veto,overall,unaffected,9892006.0,0.2489731607522276,0.035214955791732415,0.04520493886910883,0.031903173132770586,0.01330176573633824,-0.05045939756723899,0.0009997382138680181,0.5253837290434317,0.6773878925695934
element_normal_veto,severity_low,all,3681756.0,0.24758403327108042,0.035495211943976,0.04623403231938533,0.03196158084271656,0.014272451476668772,-0.04788259965991191,0.0008243588878067235,0.523510520523359,0.685644586398439
element_normal_veto,severity_low,affected,732667.0,0.28096938991383535,0.041170180527924476,0.04996177077434038,0.03773476663419345,0.012227004140146928,-0.0642318877663826,0.0006234995105397139,0.5143209670969212,0.6511167912886288
element_normal_veto,severity_low,unaffected,2949089.0,0.23928982814692945,0.03408533173775104,0.0451466082133416,0.030605884446436294,0.014540723766905305,-0.043820808418920686,0.0008742600733471016,0.5257935586209843,0.6930057224895154
element_normal_veto,severity_mid,all,5034417.0,0.26142570232064605,0.037441789564821186,0.04686336820635937,0.03410692830431924,0.012756439902040131,-0.0595104757861049,0.0008893344702183353,0.519859399807366,0.665652462198851
element_normal_veto,severity_mid,affected,1589899.0,0.2893102014656277,0.04229000902362142,0.05023044246478424,0.03905758834820896,0.01117285411657528,-0.07790301493715052,0.0007623545387049983,0.5093612864716563,0.6407135510287578
element_normal_veto,severity_mid,unaffected,3444518.0,0.24855495021364382,0.035203978855361404,0.04505438263493663,0.03194576773039264,0.013108614904543986,-0.05102096299978522,0.0009479450700564325,0.5247050530727376,0.6752550568025186
element_normal_veto,severity_high,all,5816959.0,0.2734580044315251,0.03893448586820893,0.04741921718565773,0.03574097784202555,0.011678239343632185,-0.09071663338783471,0.0007894919828806049,0.5178558074760369,0.6516379129605656
element_normal_veto,severity_high,affected,2318560.0,0.2974643744393072,0.04309363127456833,0.050065357153276084,0.04014169545548868,0.009923661697787405,-0.14384978739087742,0.00023571126367281188,0.506010195983714,0.6267797597617013
element_normal_veto,severity_high,unaffected,3498399.0,0.25754780972667785,0.0361780169310269,0.04539368610855301,0.032981211206790643,0.012412474901762366,-0.055502695370674655,0.0011565095312867247,0.5257064731610088,0.6659104029371781
element_normal_veto,recovery_short_lt30,all,5361359.0,0.24961693481074482,0.03595129706993707,0.04641485219867966,0.03247056745378931,0.013944284744890352,-0.05182651841081786,0.0007759020133706172,0.5210822479897355,0.680328876461262
element_normal_veto,recovery_short_lt30,affected,1259912.0,0.28058467575513213,0.04152738123712391,0.05020512867543034,0.03814290655441145,0.012062222121018887,-0.0678379331154515,0.0004695132326339475,0.5076799014534349,0.648132053140841
element_normal_veto,recovery_short_lt30,unaffected,4101447.0,0.24010404132980384,0.0342383954146801,0.04505422710312567,0.030820921128748506,0.014233305974377164,-0.04690801683726483,0.0008700207235515603,0.5251992772306945,0.6889115291010681
