group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074121813092319,1.1025880795145402,0.5220037689081972,0.7073518315984814,1.1024511852026857,0.5219793260335669,-6.0349710750529084e-05,-0.0001368943118544852,-2.4442874630326017e-05
severity_low,severity <= 1.557,9167,0.5693066365614669,0.8350820662942715,0.5032778064577739,0.5693072604145957,0.8351201015647286,0.5032691464741315,6.238531288227378e-07,3.8035270457092984e-05,-8.659983642411717e-06
severity_mid,1.557 < severity <= 2.578,9167,0.661390435079176,0.9594425200122775,0.5238174243464543,0.6613631323895101,0.9593948263380252,0.5237995245270891,-2.7302689665997804e-05,-4.769367425228044e-05,-1.7899819365174707e-05
severity_high,severity > 2.578,9165,0.834654547376043,1.2852789959069422,0.5360036923318352,0.8345269866308151,1.285025626089038,0.5359595114079326,-0.00012756074522790595,-0.0002533698179041366,-4.4180923902570335e-05
recovery_short_lt30,recovery < 30 min,12563,0.6060061465409237,0.937317053815068,0.5042316877357552,0.6059933539005689,0.9372987024589813,0.5042205912328015,-1.2792640354808427e-05,-1.835135608674321e-05,-1.1096502953722442e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6688800979633189,1.0259764801987152,0.5197687056012379,0.6688806040917086,1.0260074225940534,0.5197565417632941,5.061283896434787e-07,3.094239533818488e-05,-1.2163837943779399e-05
recovery_long_ge90,recovery >= 90 min,11556,0.7911830903697277,1.1904991720472737,0.538864998064975,0.7910727320245969,1.190277730067606,0.5388248420554627,-0.00011035834513073439,-0.00022144197966778023,-4.015600951234877e-05
