group,group_label,node_type,signal,count,mean,q10,q25,q50,q75,q90
overall,all test events,affected,node_prob,138418,0.37278637253238645,0.1745722308754921,0.24340081959962845,0.3409430980682373,0.4733537808060646,0.6263240218162537
overall,all test events,affected,branch_delta_abs,138418,0.9455166529491807,0.22963120341300963,0.3646296262741089,0.6130982041358948,1.0630772411823273,1.9598426938056945
overall,all test events,affected,source_abs,138418,0.507552052713111,0.11877859979867936,0.18108431994915009,0.3018704205751419,0.5444782972335815,1.0354945182800295
overall,all test events,affected,correction_abs,138418,0.014123589649280736,0.0035332473693415523,0.005626015714369714,0.010070289950817823,0.018598757684230804,0.03009013775736094
overall,all test events,affected,correction_signed,138418,0.006642222032466467,-0.005877951718866824,0.0001446063761250116,0.004809410078451037,0.01110746874473989,0.02186279892921448
overall,all test events,unaffected,node_prob,415659,0.18630228633885218,0.052941589057445525,0.07253770157694817,0.17241136729717255,0.26144371926784515,0.34883077144622804
overall,all test events,unaffected,branch_delta_abs,415659,0.4368011286464752,0.07746962159872055,0.13883551210165024,0.3104921281337738,0.5749717950820923,0.9218594074249268
overall,all test events,unaffected,source_abs,415659,0.21937970352028943,0.029933422803878784,0.06109866127371788,0.1585463136434555,0.2842692732810974,0.46597685813903816
overall,all test events,unaffected,correction_abs,415659,0.009041841742770146,0.002671636920422316,0.004093795549124479,0.006275078281760216,0.010928159579634666,0.019100754335522656
overall,all test events,unaffected,correction_signed,415659,0.005699591960778222,-0.0015133311040699481,0.001796694181393832,0.0046200319193303585,0.007826543413102627,0.014661721326410778
severity_low,severity <= 1.557,affected,node_prob,22117,0.30728930994570486,0.14515039920806885,0.20578975975513458,0.285603404045105,0.38766542077064514,0.5004254937171936
severity_low,severity <= 1.557,affected,branch_delta_abs,22117,0.7012724954664886,0.19959613382816316,0.31230098009109497,0.5151847004890442,0.8453821539878845,1.3345752954483039
severity_low,severity <= 1.557,affected,source_abs,22117,0.34527747436161843,0.10758118033409118,0.15709468722343445,0.24711748957633972,0.4004437327384949,0.6586708307266241
severity_low,severity <= 1.557,affected,correction_abs,22117,0.008614022642992913,0.0027335418853908777,0.004098053555935621,0.00618633022531867,0.010320655070245266,0.0175768617540598
severity_low,severity <= 1.557,affected,correction_signed,22117,0.005145804910651616,-0.0022359256632626056,0.001493843737989664,0.004483513999730349,0.007490063086152077,0.013284180313348782
severity_low,severity <= 1.557,unaffected,node_prob,124063,0.1767555035068619,0.05121803432703018,0.06928953528404236,0.16293205320835114,0.24783385545015335,0.3312205731868744
severity_low,severity <= 1.557,unaffected,branch_delta_abs,124063,0.40898057386836356,0.07940203994512558,0.13535021990537643,0.2897169291973114,0.53915074467659,0.8631560921669007
severity_low,severity <= 1.557,unaffected,source_abs,124063,0.19989444518267516,0.02949757054448128,0.05947760120034218,0.14904509484767914,0.26092129945755005,0.41419847607612614
severity_low,severity <= 1.557,unaffected,correction_abs,124063,0.006601375756482669,0.0023895899299532174,0.0036075819516554475,0.005208033602684736,0.00744597939774394,0.011969901062548163
severity_low,severity <= 1.557,unaffected,correction_signed,124063,0.004990430147123036,7.839221325412122e-06,0.002417730982415378,0.004551410675048828,0.006546431453898549,0.009905453212559224
severity_mid,1.557 < severity <= 2.578,affected,node_prob,47427,0.3524388356708598,0.17157210111618043,0.23786087334156036,0.3289610743522644,0.4462760090827942,0.5716106414794921
severity_mid,1.557 < severity <= 2.578,affected,branch_delta_abs,47427,0.8352117286704229,0.22259533405303958,0.3519941419363022,0.5871104001998901,0.9865583777427673,1.661435675621033
severity_mid,1.557 < severity <= 2.578,affected,source_abs,47427,0.4318714025005928,0.1159087985754013,0.17677031457424164,0.29009193181991577,0.504225105047226,0.8640018820762636
severity_mid,1.557 < severity <= 2.578,affected,correction_abs,47427,0.012289865005147022,0.00333106960169971,0.005188439507037401,0.008854836225509644,0.015901165083050728,0.026059148833155632
severity_mid,1.557 < severity <= 2.578,affected,correction_signed,47427,0.0063084363327059485,-0.004584599472582338,0.0005358388007152826,0.004790381528437138,0.01029394380748272,0.019649662077426914
severity_mid,1.557 < severity <= 2.578,unaffected,node_prob,145115,0.18540309769742358,0.05306027829647064,0.07257428020238876,0.17148049175739288,0.26034486293792725,0.34687278866767884
severity_mid,1.557 < severity <= 2.578,unaffected,branch_delta_abs,145115,0.4356157311894154,0.07635888308286667,0.13863138109445572,0.3108045160770416,0.5751815736293793,0.9229588866233827
severity_mid,1.557 < severity <= 2.578,unaffected,source_abs,145115,0.2182968985758735,0.030191244930028917,0.0614404808729887,0.1578664928674698,0.28456491231918335,0.4670866370201112
severity_mid,1.557 < severity <= 2.578,unaffected,correction_abs,145115,0.008851972171074238,0.0026293997187167408,0.004048205679282546,0.006247804965823889,0.010708320885896683,0.01837628521025181
severity_mid,1.557 < severity <= 2.578,unaffected,correction_signed,145115,0.0056638263522751225,-0.0015399249503388996,0.001718833635095507,0.004593247547745705,0.007883928250521421,0.014432390779256827
severity_high,severity > 2.578,affected,node_prob,68874,0.407830382811465,0.19064053744077683,0.26441241800785065,0.3723004013299942,0.5240382254123688,0.699172043800354
severity_high,severity > 2.578,affected,branch_delta_abs,68874,1.099905532276842,0.2474350392818451,0.39434605091810226,0.6698266565799713,1.2244247198104858,2.4203655481338515
severity_high,severity > 2.578,affected,source_abs,68874,0.6117761873216581,0.12609053105115892,0.1959424763917923,0.3350338041782379,0.6447739750146866,1.3357833862304689
severity_high,severity > 2.578,affected,correction_abs,68874,0.017155548765571314,0.004353281995281577,0.007236680947244167,0.013195564039051533,0.02283388189971447,0.03508050069212913
severity_high,severity > 2.578,affected,correction_signed,68874,0.007352602028774524,-0.008041462022811174,-0.0008547900797566399,0.005076184403151274,0.013544899178668857,0.025938190706074244
severity_high,severity > 2.578,unaffected,node_prob,146481,0.1952787971367449,0.05461015924811363,0.07527578622102737,0.18196482956409454,0.27417469024658203,0.36472856998443604
severity_high,severity > 2.578,unaffected,branch_delta_abs,146481,0.46153826478985277,0.0769539326429367,0.1431140899658203,0.32972753047943115,0.6056167483329773,0.9715020656585693
severity_high,severity > 2.578,unaffected,source_abs,146481,0.23695557236777384,0.03008110262453556,0.06219230592250824,0.16862598061561584,0.3052719533443451,0.5126480460166931
severity_high,severity > 2.578,unaffected,correction_abs,146481,0.0112969086425963,0.0030623404309153557,0.004837391898036003,0.008157986216247082,0.014721785672008991,0.02381032146513462
severity_high,severity > 2.578,unaffected,correction_signed,146481,0.006335653077001013,-0.0028506347443908453,0.0011472796322777867,0.004765030462294817,0.009880002588033676,0.018262475728988647
recovery_short_lt30,recovery < 30 min,affected,node_prob,37889,0.30975937264029246,0.14775613844394683,0.2078947275876999,0.2874799966812134,0.39013198018074036,0.5045656323432924
recovery_short_lt30,recovery < 30 min,affected,branch_delta_abs,37889,0.728340734040342,0.20381263494491578,0.3213195204734802,0.5278037190437317,0.8700031042098999,1.3975229740142825
recovery_short_lt30,recovery < 30 min,affected,source_abs,37889,0.3634724117262045,0.10840304344892501,0.160620778799057,0.25372812151908875,0.4168623685836792,0.7049624562263495
recovery_short_lt30,recovery < 30 min,affected,correction_abs,37889,0.009551354875777117,0.0028176752384752035,0.0042622932232916355,0.006624063942581415,0.011537889018654823,0.01999617815017701
recovery_short_lt30,recovery < 30 min,affected,correction_signed,37889,0.005348706552152431,-0.0029725634958595037,0.0011711890110746026,0.004434968810528517,0.007867865264415741,0.01468806173652412
recovery_short_lt30,recovery < 30 min,unaffected,node_prob,172909,0.1750470974726413,0.05115316659212112,0.06894376128911972,0.16033603250980377,0.24550476670265198,0.3288629710674287
recovery_short_lt30,recovery < 30 min,unaffected,branch_delta_abs,172909,0.41151724713969245,0.07753164917230607,0.1344631016254425,0.29196587204933167,0.5419215559959412,0.8653345584869387
recovery_short_lt30,recovery < 30 min,unaffected,source_abs,172909,0.20353548747889377,0.029140803590416906,0.05883881077170372,0.150225430727005,0.264405220746994,0.4238740086555483
recovery_short_lt30,recovery < 30 min,unaffected,correction_abs,172909,0.007025688548416825,0.0024262169376015664,0.003671507816761732,0.005335872992873192,0.00785511452704668,0.013272555917501455
recovery_short_lt30,recovery < 30 min,unaffected,correction_signed,172909,0.005077447961828693,-0.0003667810698971154,0.0022504047956317663,0.004522503819316626,0.006684811785817146,0.010663873516023164
recovery_mid_30_90,30 <= recovery < 90 min,affected,node_prob,16126,0.3632470092961536,0.1706516519188881,0.23876754939556122,0.33431777358055115,0.4621063768863678,0.6001968085765839
recovery_mid_30_90,30 <= recovery < 90 min,affected,branch_delta_abs,16126,0.8770107140470748,0.2255554422736168,0.35974764078855515,0.5988763868808746,1.0166691839694977,1.7755783796310425
recovery_mid_30_90,30 <= recovery < 90 min,affected,source_abs,16126,0.441809912332781,0.11570028588175774,0.17657102644443512,0.2920561283826828,0.5109311193227768,0.8819012641906738
recovery_mid_30_90,30 <= recovery < 90 min,affected,correction_abs,16126,0.011727250934820521,0.0032552091870456934,0.005081345443613827,0.008474644739180803,0.015026965644210577,0.02463095635175705
