group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.7073256839097037,1.101678655810034,0.5223033676763843,-0.00020279900351138913,-0.00045037562005423304,-8.664114108913878e-05
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5698330709924829,0.8358847070019532,0.5037356173275035,-0.00013324144783088965,-0.00038342367678634304,-7.108789570275942e-05
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.6616088348710486,0.9594583032475648,0.5241293398125659,-0.0002979863408215655,-0.0006314227743398071,-0.00014409218503141918
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.8339162293605645,1.2831940946104479,0.5361577963055386,-0.00016443568280266607,-0.00034738695569669353,-4.319833157973019e-05
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.9378633128246259,0.5047306017851748,0.6062743096596404,0.9373185141105093,0.504581771879839,-0.00024188567441585374,-0.0005447987141166122,-0.0001488299053358233
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6694977532322806,1.0269553312519868,0.5202355829429651,-0.00023436296350132224,-0.000669412661068014,-5.2667760276570164e-05
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.1891926843101461,0.5391099926548031,0.7906610046071446,1.1888259643985608,0.5390702920352614,-0.00016634593741537973,-0.0003667199115853226,-3.97006195417271e-05
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8374609475370723,1.270281954461593,0.5402841228569087,-0.0001236855366105738,-0.0002974174724281742,-4.390294520928428e-06
