group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7100000773233189,1.108568269754204,0.523000071740378,0.7100385476096962,1.107855300429788,0.5233910973163582,3.8470286377267904e-05,-0.0007129693244161128,0.0003910255759802528
severity_low,severity <= 1.557,9167,0.5701700789989885,0.8354414153616172,0.504266484391451,0.5707404399048986,0.8362300101034986,0.504782631602505,0.0005703609059101167,0.000788594741881421,0.0005161472110539744
severity_mid,1.557 < severity <= 2.578,9167,0.663132822777692,0.9613098654379932,0.5255021257691207,0.6634882853615424,0.9615385651069659,0.5259160987836324,0.00035546258385033003,0.00022869966897265392,0.00041397301451173707
severity_high,severity > 2.578,9165,0.8390656714917537,1.2958556307578841,0.5363286467788552,0.8384931483314564,1.2940224414615107,0.5365915951839685,-0.0005725231602973224,-0.0018331892963734386,0.00026294840511331685
recovery_short_lt30,recovery < 30 min,12563,0.6072385270576919,0.9385407813948514,0.5054667225143346,0.6076194676690182,0.9386249313072064,0.505938818665705,0.0003809406113263192,8.414991235494718e-05,0.00047209615137044914
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6700641194066943,1.0276517300711914,0.520747648867289,0.670855274637003,1.029136344178082,0.5212492119882928,0.0007911552303087044,0.0014846141068907137,0.0005015631210038007
recovery_long_ge90,recovery >= 90 min,11556,0.7951133575716383,1.199409530782483,0.5396484852116591,0.7947129959602788,1.1979242954039557,0.5399336453707128,-0.0004003616113594788,-0.0014852353785272943,0.00028516015905366565
