epoch,train_loss,val_loss,selection_loss,val_final_loss,val_source_loss,val_target_loss,val_correction_l1,val_unaffected_correction,val_non_tail_affected_correction,val_affected_correction,val_affected_rate,val_target_rate,val_severity_high_rate,val_recovery_long_rate,val_high_long_rate
1,0.5983946987345249,0.7144245184262593,0.7144245184262593,0.6267331318855286,0.6267589866320292,0.08761210225025813,0.0007954990413660805,0.000761192108814915,0.0008242904657187561,0.0008798224286486705,0.29008283440272015,0.1648992477854093,0.3133333331743876,0.3470000000397364,0.24966666662693024
2,0.5980810885187946,0.7144221512476603,0.7144221512476603,0.6267131827672323,0.6267589866320292,0.08759834271669388,0.0011349852215498685,0.0010624188352376222,0.0011501496095831195,0.0013115990394726397,0.29008283440272015,0.1648992477854093,0.3133333331743876,0.3470000000397364,0.24966666662693024
3,0.5995431980000266,0.7144449303944905,0.7144449303944905,0.6266357390085856,0.6267589866320292,0.08755862857898077,0.0025898939147591593,0.002376133138934771,0.0026347709589948256,0.003108329340815544,0.29008283440272015,0.1648992477854093,0.3133333331743876,0.3470000000397364,0.24966666662693024
4,0.5999793380121642,0.7144570306142172,0.7144570306142172,0.6265915205478668,0.6267589866320292,0.08753960172335307,0.0034340355719129243,0.003130180325979988,0.0033879777354498706,0.0041759095750749115,0.29008283440272015,0.1648992477854093,0.3133333331743876,0.3470000000397364,0.24966666662693024
5,0.5954625391507451,0.7144158029556275,0.7144158029556275,0.6264442688624065,0.6267589866320292,0.08747912847995758,0.005274389737596114,0.004705895061294238,0.005142209962010384,0.0066593464079002535,0.29008283440272015,0.1648992477854093,0.3133333331743876,0.3470000000397364,0.24966666662693024
