epoch,train_loss,val_loss,selection_loss,val_final_loss,val_source_loss,val_target_loss,val_correction_l1,val_unaffected_correction,val_non_tail_affected_correction,val_affected_correction,val_affected_rate,val_target_rate,val_severity_high_rate,val_recovery_long_rate,val_high_long_rate
1,0.6844919346555879,0.8093910675048828,0.8093910675048828,0.6267135912577311,0.6267859101295471,0.18241650958855946,0.002638259242599209,0.0025023433230817317,0.0027169676907360554,0.0029710158581535023,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
2,0.6839044116720369,0.8094017677307129,0.8094017677307129,0.6265449120998382,0.6267859101295471,0.1823078548113505,0.005535805211712917,0.0051604237593710425,0.005819444188227256,0.0064524726793169975,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
3,0.6852801660948162,0.8092407423655192,0.8092407423655192,0.6264086589813233,0.6267859101295471,0.18214840153853099,0.0072176228016614915,0.006612746700644493,0.007060894329100847,0.008690870200594267,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
4,0.6863131040259253,0.8092824347813924,0.8092824347813924,0.6262338318824768,0.6267859101295471,0.18213564173380534,0.009884667525688806,0.008806178249418735,0.009453130702177683,0.01251247935493787,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
5,0.6818989537939241,0.8092764701843261,0.8092764701843261,0.6261626999378205,0.6267859101295471,0.18215025301774343,0.010478108902772268,0.009089767793814341,0.01018051474293073,0.013863473425308864,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
6,0.681823972659775,0.8094434723854065,0.8094434723854065,0.6261017612616221,0.6267859101295471,0.1822987191279729,0.01156493943432967,0.009736723840236664,0.011122925872604052,0.016022873441378274,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
7,0.6810018269321586,0.8094401658376058,0.8094401658376058,0.6261495518684387,0.6267859101295471,0.1822729115486145,0.011419763304293156,0.00945323641349872,0.010900738360981146,0.01621720406661431,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
8,0.6806374403494823,0.8093815050125122,0.8093815050125122,0.625940824508667,0.6267859101295471,0.1822430518468221,0.01344244555135568,0.01147228488822778,0.012480450004339219,0.018244021326303483,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
9,0.6844960926454279,0.8094244190851847,0.8094244190851847,0.6260655489762624,0.6267859101295471,0.18220636185010275,0.012599567537506422,0.01088303125401338,0.012167173586785793,0.016780758450428646,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
10,0.6805034423176246,0.8092513839403789,0.8092513839403789,0.6259746737480164,0.6267859101295471,0.18219571332136789,0.01192651579529047,0.010160635943214098,0.011459283011655013,0.016233398055036864,0.29008283440272015,0.16490971658627193,0.3133333331743876,0.3470000000397364,0.24966666662693024
