group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.7086056944745289,1.1016235624312936,0.5242097792146507,0.0010772115613137956,-0.000505468998794667,0.0018197703971772894
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5711790680690139,0.8354313920495259,0.5055286419064497,0.0012127556287000463,-0.0008367386292136292,0.0017219366832434968
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.6624892465205008,0.9585918517858681,0.5258160575732221,0.0005824253086306186,-0.0014978742360364228,0.0015426255756247897
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.8355003125344359,1.2838212214693603,0.5383761123659708,0.0014196474910687096,0.0002797399032157255,0.0021751177288524826
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.9378633128246259,0.5047306017851748,0.6073280551395644,0.9365232514751031,0.5062035146909737,0.0008118598055082415,-0.001340061349522803,0.0014729129057988732
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6704993557963831,1.0256126724226355,0.5222160396497104,0.0007672396006012105,-0.002012071490419265,0.0019277889464687226
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.1891926843101461,0.5391099926548031,0.792176130146483,1.1893444938899096,0.5412151336057164,0.0013487796019230336,0.0001518095797634622,0.002105140950913298
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8391614046202435,1.2710782752695136,0.5426053285047617,0.0015767715465605514,0.0004989033354922956,0.002316815353332058
