group,samples,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
overall,27499,0.7089241888881328,0.7084829626997585,-0.0004412261883742,1.1048646218291773,1.1043808348330368,-0.00048378699614053333,0.5231570742393109,0.5227358136472037,-0.0004212605921070666
severity_low,9167,0.5705420630977446,0.5702520438928009,-0.00029001920494366667,0.8363117707400667,0.8357911174353708,-0.0005206533046958667,0.5045146586652126,0.5042819384929832,-0.00023272017222943333
severity_mid,9167,0.6626884897631063,0.6620850018844866,-0.0006034878786196333,0.9602325070960352,0.9593996764970735,-0.0008328305989615334,0.5253499846758313,0.5248523682232173,-0.0004976164526139
severity_high,9165,0.8365267763253029,0.8361302691218255,-0.0003965072034774,1.2889056935752508,1.2886729013082654,-0.00023279226698539633,0.5367131659538823,0.5362081549995262,-0.0005050109543560667
recovery_short_lt30,12563,0.6070175316697727,0.6066613341157123,-0.0003561975540603,0.93769793478575,0.9371651945865481,-0.0005327401992018,0.5054367464717965,0.5051347793374497,-0.0003019671343468
recovery_mid_30_90,3380,0.6704645950899728,0.6698307469024263,-0.0006338481875465666,1.0284303444447382,1.0272632683075216,-0.0011670761372169333,0.5209902136824075,0.5205790211950028,-0.0004111924874046406
recovery_long_ge90,11556,0.7930428666796434,0.7925877301055783,-0.00045513657406516674,1.1935828623890077,1.193250976614535,-0.0003318857744727,0.5399514114819672,0.5394184005153123,-0.0005330109666548667
severity_high_and_long,8029,0.8403392247977086,0.8399704166521036,-0.0003688081456049333,1.2763611684333906,1.2761979854981185,-0.0001631829352721,0.5409646155554803,0.5404546252796157,-0.0005099902758644333
