group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.7073111578340443,1.1019133493278355,0.5221719199952972,-0.000217325079170827,-0.00021568210225275664,-0.00021808882217622116
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5698114398401197,0.83603144722466,0.5036721761258307,-0.00015487260019408922,-0.000236683454079456,-0.00013452909737554641
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.661633276007927,0.9597485241200856,0.524031094934763,-0.0002735452039431818,-0.00034120190181896604,-0.00024233706283438572
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.8338724699194201,1.2834184930517218,0.5359363222291111,-0.00020819512394709694,-0.0001229885144227172,-0.00026467240800720493
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.9378633128246259,0.5047306017851748,0.60633935555099,0.9376470216769107,0.504565877146529,-0.0001768397830662627,-0.000216291147715153,-0.00016472463864580789
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6694302127379262,1.0271136240565095,0.5200737330556381,-0.00030190345785563455,-0.0005111198565452835,-0.00021451764760360703
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.1891926843101461,0.5391099926548031,0.7906016225041282,1.1890335646212438,0.5388421755534872,-0.00022572804043174965,-0.00015911968890236494,-0.00026781710131584813
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8373857160044691,1.2704777610849325,0.5400227877288196,-0.00019891706921382202,-0.00010161084908877349,-0.0002657254226100525
