threshold,floor,temperature,group,label,source_all_mae,adapter_all_mae,all_delta,source_affected_mae,adapter_affected_mae,affected_delta,source_unaffected_mae,adapter_unaffected_mae,unaffected_delta
0.0,0.1,0.25,overall,all test events,0.7092097441986353,0.708433645251932,-0.0007760989467032742,1.1046952400734757,1.104107072090372,-0.0005881679831036823,0.5236560658487773,0.5227918081656037,-0.0008642576831736637
0.0,0.1,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703177666784546,-0.0005197961775066373,0.8361752164416952,0.835283601511669,-0.0008916149300262077,0.5049174934959788,0.5044900736983946,-0.00042741979758420534
0.0,0.1,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6615557347553848,-0.0010807668991266173,0.9590187214722444,0.9576074425069612,-0.001411278965283258,0.5258342516781376,0.5249060398971278,-0.000928211781009769
0.0,0.1,0.25,severity_high,severity > 2.578,0.8370981774744759,0.8364235485038231,-0.0006746289706528463,1.2894421377452492,1.289514248606894,7.211086164482516e-05,0.5373077252176639,0.5361381857726205,-0.0011695394450433882
0.0,0.1,0.25,recovery_short_lt30,recovery < 30 min,0.606863957265779,0.6063312703516497,-0.0005326869141293322,0.9364992472874594,0.9358665324319277,-0.0006327148555316242,0.5056042168623659,0.5051022527270559,-0.0005019641353100068
0.0,0.1,0.25,recovery_mid_30_90,30 <= recovery < 90 min,0.6708174255904502,0.6695000355948613,-0.0013173899955889468,1.0286134657059498,1.026280347010517,-0.0023331186954327343,0.5214138842779185,0.5205206357777332,-0.0008932485001852397
0.0,0.1,0.25,recovery_long_ge90,recovery >= 90 min,0.7936325467333487,0.7928140925974981,-0.000818454135850577,1.1938029610874101,1.1935669587182032,-0.00023600236920695572,0.5407746472278139,0.5395881460405462,-0.0011865011872677078
0.0,0.1,0.25,severity_high_and_long,severity high and recovery >= 90 min,0.8410932702309449,0.8404376048596497,-0.0006556653712952443,1.2770558114403372,1.2772282248293148,0.00017241338897755476,0.5417594313546809,0.5405352246133382,-0.0012242067413426039
0.0,0.25,0.25,overall,all test events,0.7092097441986353,0.7084282545522534,-0.0007814896463818055,1.1046952400734757,1.104102030547113,-0.0005932095263627701,0.5236560658487773,0.5227862520693477,-0.000869813779429629
0.0,0.25,0.25,severity_low,severity <= 1.557,0.5708375628559612,0.5703126960150775,-0.0005248668408837087,0.8361752164416952,0.8352755095531974,-0.000899706888497831,0.5049174934959788,0.5044857496671006,-0.00043174382887822826
0.0,0.25,0.25,severity_mid,1.557 < severity <= 2.578,0.6626365016545114,0.6615454655983504,-0.00109103605616101,0.9590187214722444,0.9575923852906694,-0.0014263361815750608,0.5258342516781376,0.5248979785143378,-0.000936273163799739
