seed,selection,transform,beta,val_all,val_affected,test_all,test_affected,test_unaffected
7,best_val_all,original,1.0,0.7160532898566391,1.1592359699052868,0.710021508956225,1.1096381130085673,0.522529606229515
7,affected_within_all_tol,original,1.05,0.7162186100188219,1.15869706864569,0.7100000762481893,1.108568272279184,0.5230000725301572
11,best_val_all,bias_0.2,0.95,0.714910272492294,1.1580776843681475,0.7089691812688759,1.108034787786412,0.5217358000048221
11,affected_within_all_tol,original,1.05,0.7151311760317668,1.1569639139308376,0.7085931423367654,1.1054110912416513,0.5224143126909749
23,best_val_all,original,1.0,0.7144171148600645,1.1566498734486217,0.7073705350900962,1.1036863279514495,0.5214273122724046
23,affected_within_all_tol,original,1.05,0.7147588571808742,1.156233844306017,0.7074902733457592,1.1027049465272545,0.5220636649684604
