method,selection,all_mae,affected_mae,unaffected_mae,affected_trigger_rate,unaffected_trigger_rate
convexgate_original,checkpoint,0.7079086393228073,1.1049857505871823,0.5216082195760205,,
continuous_normal_veto,checkpoint,0.7074902693140233,1.1027049437918595,0.5220636679301321,,
oracle_selected_margin0_amount1_beta1.10,oracle,0.6070155942856984,0.9634747126155376,0.439772297654414,0.4364947213240924,0.4416355994931665
oracle_sparse_margin0.2_amount1_beta1.10,oracle,0.6334149332667934,0.987917533374444,0.4670896026896617,0.184778435233174,0.1339246053833772
binary_hp_smoke_full,"{'transform': 'continuous_0.5', 'temperature': 1.5, 'beta': 1.05}",0.707458740332951,1.1030488765684232,0.521855981486465,0.0595253734332533,0.0630902424281409
continuous_hp_smoke_full,"{'transform': 'continuous_1', 'temperature': 1.0, 'beta': 1.05}",0.7077268233543877,1.1030269656342555,0.5222601272684226,0.033682695989809,0.0327559353663642
