group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7085563180737642,1.1051773277581238,0.522469879181988,0.7085865716823806,1.1052310946807413,0.5224891110938469,3.025360861641513e-05,5.376692261749305e-05,1.923191185893014e-05
severity_low,severity <= 1.557,9167,0.5695050727832045,0.8342326892281896,0.5037365511434209,0.5695272917155564,0.8342617141808625,0.5037570924444803,2.221893235188066e-05,2.902495267287364e-05,2.0541301059440187e-05
severity_mid,1.557 < severity <= 2.578,9167,0.6614146962051415,0.9578845643260987,0.5245719974463771,0.6614296060745465,0.9578944902710801,0.5245892009600472,1.4909869404999831e-05,9.925944981392654e-06,1.7203513670183135e-05
severity_high,severity > 2.578,9165,0.8373664588963065,1.2917987012952006,0.5361919882852128,0.8374150963157897,1.291890332792768,0.5362121358941618,4.863741948324396e-05,9.163149756741262e-05,2.014760894908374e-05
recovery_short_lt30,recovery < 30 min,12563,0.6058846419583169,0.9359137936072123,0.5045039087348319,0.605904297947125,0.9359611136903807,0.5045150804779996,1.9655988808042757e-05,4.7320083168433946e-05,1.1171743167781578e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6688495005882318,1.0254379193611434,0.5199502557812445,0.6688702220799505,1.0254240941891712,0.5199853786748959,2.0721491718722618e-05,-1.3825171972126071e-05,3.5122893651373666e-05
recovery_long_ge90,recovery >= 90 min,11556,0.7935465134073865,1.1954554535510247,0.5395900675428843,0.7935869173515647,1.1955249305337452,0.5396120705262378,4.040394417825777e-05,6.947698272052882e-05,2.200298335353068e-05
