group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7075284829132151,1.1021290314300882,0.5223900088174734,0.7072770961164806,1.101810414312712,0.5221701714242794,-0.0002513867967345318,-0.00031861711737612985,-0.0002198373931940889
severity_low,severity <= 1.557,9167,0.5699663124403138,0.8362681306787395,0.5038067052232063,0.5697869589096888,0.8359466169487639,0.5036626790192666,-0.00017935353062503712,-0.0003215137299755755,-0.00014402620393960675
severity_mid,1.557 < severity <= 2.578,9167,0.6619068212118702,0.9600897260219046,0.5242734319975974,0.6615795893049781,0.9596103864144829,0.5240163976679756,-0.00032723190689210035,-0.00047933960742163606,-0.00025703432962176365
severity_high,severity > 2.578,9165,0.8340806650433672,1.2835414815661446,0.5362009946371183,0.833849334441759,1.2833340049966357,0.5359538883000481,-0.00023133060160818175,-0.0002074765695088132,-0.00024710633707025753
recovery_short_lt30,recovery < 30 min,12563,0.6065161953340562,0.9378633128246259,0.5047306017851748,0.6062614354168412,0.9374758865227294,0.5045166043304351,-0.00025475991721501945,-0.0003874263018964763,-0.00021399745473971166
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6697321161957819,1.0276247439130548,0.5202882507032417,0.6694455624636269,1.0270758665372333,0.520111237468986,-0.000286553732155026,-0.0005488773758215437,-0.00017701323425567406
recovery_long_ge90,recovery >= 90 min,11556,0.79082735054456,1.1891926843101461,0.5391099926548031,0.7905872307159241,1.1889484647731026,0.5388724928800647,-0.00024011982863592074,-0.00024421953704356625,-0.00023749977473841444
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8375846330736829,1.2705793719340213,0.5402885131514297,0.8373814581253703,1.2704093964535952,0.5400625584832778,-0.00020317494831256777,-0.00016997548042607669,-0.00022595466815189535
