group,label,samples,source_all_mae,source_affected_mae,source_unaffected_mae,adapter_all_mae,adapter_affected_mae,adapter_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7092097441986353,1.1046952400734757,0.5236560658487773,0.708471038796042,1.1041369325030175,0.5228327384695783,-0.0007387054025932427,-0.0005583075704582718,-0.0008233273791989904
severity_low,severity <= 1.557,9167,0.5708375594077935,0.836175215108808,0.5049174931648384,0.5703456597035491,0.8353230789661265,0.5045150913553305,-0.0004918997042443474,-0.0008521361426815366,-0.00040240180950790183
severity_mid,1.557 < severity <= 2.578,9167,0.6626364954472385,0.9590187263860787,0.5258342545132585,0.6616129844329542,0.957678424069705,0.524956966039951,-0.0010235110142842174,-0.0013403023163736094,-0.0008772884733074804
severity_high,severity > 2.578,9165,0.8370981862043381,1.2894421200551205,0.5373077419663966,0.8364497642797551,1.2895128805702678,0.5361826782229528,-0.0006484219245829204,7.076051514731674e-05,-0.0011250637434437882
recovery_short_lt30,recovery < 30 min,12563,0.606863954351406,0.9364992480625631,0.5056042244816281,0.6063614464984531,0.9358986217266563,0.5051318578464503,-0.0005025078529529159,-0.0006006263359068509,-0.0004723666351778011
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6708174213372705,1.0286134855593299,0.5214138955826005,0.6695715884326576,1.026388896268731,0.5205767642780246,-0.0012458329046128869,-0.0022245892905987663,-0.0008371313045759665
recovery_long_ge90,recovery >= 90 min,11556,0.7936325573844649,1.193802961775097,0.5407746524422029,0.792848211318009,1.1935808582408671,0.5396350312190334,-0.0007843460664559432,-0.00022210353422980056,-0.0011396212231694625
severity_high_and_long,severity high and recovery >= 90 min,8029,0.8410932694807901,1.2770557874850754,0.5417594288242517,0.8404613360092779,1.2772228404235797,0.540578938092667,-0.0006319334715122471,0.00016705293850427516,-0.0011804907315846602
