group,label,samples,base_all_mae,base_affected_mae,base_unaffected_mae,candidate_all_mae,candidate_affected_mae,candidate_unaffected_mae,all_delta,affected_delta,unaffected_delta
overall,all test events,27499,0.7074555703134052,1.1025956494043687,0.5220639674538713,0.7074274567502036,1.1026121678230671,0.5220149055838623,-2.8113563201648262e-05,1.6518418698430182e-05,-4.9061870008970665e-05
severity_low,severity <= 1.557,9167,0.5693468602346272,0.8350892825458223,0.5033262350784429,0.5693124273614275,0.8350770253147064,0.5032862902747255,-3.443287319970789e-05,-1.2257231115864187e-05,-3.99448037173844e-05
severity_mid,1.557 < severity <= 2.578,9167,0.661428929481805,0.9594595562752728,0.5238658119220164,0.6613952736483688,0.9594489178243398,0.5238215454782063,-3.365583343617473e-05,-1.0638450932964894e-05,-4.426644381017031e-05
severity_high,severity > 2.578,9165,0.8347041705984175,1.2852801752488614,0.5360854194482962,0.8346848467128615,1.2853244106794735,0.5360239850964684,-1.9323885556032927e-05,4.42354306120496e-05,-6.143435182781598e-05
recovery_short_lt30,recovery < 30 min,12563,0.6060374556502371,0.937300872749446,0.5042775699801801,0.6060112787518053,0.9373213711428854,0.504237052648736,-2.617689843187332e-05,2.049839343942761e-05,-4.051733144416758e-05
recovery_mid_30_90,30 <= recovery < 90 min,3380,0.6689673689585113,1.0261243120767694,0.5198307396674603,0.6688957283988827,1.0259869627834168,0.519786509721906,-7.164055962860516e-05,-0.00013734929335251778,-4.422994555430826e-05
recovery_long_ge90,recovery >= 90 min,11556,0.791224322970746,1.1904905539581174,0.5389377075048712,0.7912056845825144,1.1905346071652152,0.5388794740778402,-1.8638388231573266e-05,4.405320709777172e-05,-5.8233427031040286e-05
