epoch,train_loss,val_loss,val_residual_loss,val_veto_loss,val_node_event_veto_loss,val_ranking_loss,val_regret_loss,val_sparsity_loss,val_impact_loss,val_event_aux_loss,val_node_aux_loss,val_event_focus_mean,val_affected_event_focus_mean,val_event_target_boost_mean,val_affected_event_target_boost_mean,val_normal_advantage_mean,val_positive_rate,val_affected_positive_rate,val_ranking_positive_count,val_ranking_negative_count,val_node_event_target_mean,val_node_event_positive_rate,val_normal_veto_mean,val_affected_normal_veto_mean,val_effective_gate_mean,val_base_gate_mean
1,0.7668226691567974,0.8819999042499232,0.7460623870337512,0.5693179128717699,0.49004493731009313,0.0,0.23096565334754462,0.19249288778789073,0.12014887670322218,0.4193645057715769,0.5306856144519344,0.4940684233655345,0.607450005849801,0.0,0.0,-0.07111491425723623,0.25539718935829203,0.28367635711685757,0.0,0.0,0.851042486559402,0.851042486559402,0.1849906135395103,0.196612912049158,0.3548912040891814,0.43833860955145293
2,0.7179457465554498,0.8709970166812976,0.7473349474587289,0.5438114776079968,0.24396410218578052,0.0,0.22987990060700655,0.17798620632089845,0.0982927733467932,0.3293910938923753,0.45091235707043703,0.4940684233655345,0.607450005849801,0.0,0.0,-0.07111491425723623,0.25539718935829203,0.28367635711685757,0.0,0.0,0.851042486559402,0.851042486559402,0.1654352980759282,0.18472248738410332,0.36240010430901803,0.43833860955145293
3,0.7128782147055219,0.8670735244594262,0.7483013937751629,0.5204313353821253,0.2305970173835428,0.0,0.22198622294665607,0.19348558846890457,0.0939530602411757,0.2952325520573394,0.4347974932773274,0.4940684233655345,0.607450005849801,0.0,0.0,-0.07111491425723623,0.25539718935829203,0.28367635711685757,0.0,0.0,0.851042486559402,0.851042486559402,0.1747349856172021,0.2019907629345019,0.35804095254169677,0.43833860955145293
